drugbank_id,name,type,cas_number,groups,synonyms
DB00385,Valrubicin,small molecule,56124-62-0,approved,"(8S, 10S)-8-glycoloyl-7,8,9,10-tetrahydro-6,8,11-trihydroxy-1-methoxy-10-[[2,3,6-trideoxy-3-(2,2,2-trifluoroacetamido)-α-L-lyxo-hexopyranosyl]oxy]-5,12-naphthacenedione 8²-valerate|2-oxo-2-[(2S,4S)-2,5,12-trihydroxy-7-methoxy-6,11-dioxo-4-({2,3,6-trideoxy-3-[(trifluoroacetyl)amino]hexopyranosyl}oxy)-1,2,3,4,6,11-hexahydrotetracen-2-yl]ethyl pentanoate|Valrubicin|Valrubicina|Valrubicine|Valrubicinum"
DB00387,Procyclidine,small molecule,77-37-2,approved,1-cyclohexyl-1-phenyl-3-pyrrolidin-1-yl-propan-1-ol hydrochloride|1-Cyclohexyl-1-phenyl-3-pyrrolidino-1-propanol|Prociclidina|Procyclidin|Procyclidine|Procyclidinum|Tricyclamol
DB00388,Phenylephrine,small molecule,59-42-7,approved,"(-)-m-Hydroxy-alpha-(methylaminomethyl)benzyl alcohol|(-)-m-Hydroxy-α-(methylaminomethyl)benzyl alcohol|Benzenemethanol, 3-hydroxy-.alpha.-[(methylamino)methyl]-, (R)-|Benzenemethanol, 3-hydroxy-alpha-((methylamino)methyl)-, (R)-|Benzyl alcohol, m-hydroxy-alpha-((methylamino)methyl)-, (-)-|Fenilefrina|l-(3-Hydroxyphenyl)-N-methylethanolamine|Phenylephrine|Phenylephrinum|R(-)-Phenylephrine"
DB00389,Carbimazole,small molecule,22232-54-8,approved|investigational,"1H-Imidazole-1-carboxylic acid, 2,3-dihydro-3-methyl-2-thioxo-, ethyl ester  Ethyl 3-methyl-2-thioimidazoline-1-carboxylate|Athyromazole|Carbethoxymethimazole|Carbimazol|Carbimazolo|Carbimazolum|Carbinazole|Ethyl 3-methyl-2-thioimidazoline-1-carboxylate"
DB00390,Digoxin,small molecule,20830-75-5,approved,"12beta-Hydroxydigitoxin|12β-hydroxydigitoxin|4-[(3S,5R,8R,9S,10S,12R,13S,14S)-3-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-5-[(2S,4S,5R,6R)-4,5-dihydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-4-hydroxy-6-methyl-oxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-5H-furan-2-one|Digazolan|Digossina|Digoxin|Digoxina|Digoxine|Digoxinum|Lanadicor"
DB00391,Sulpiride,small molecule,15676-16-1,approved|investigational,(+-)-Sulpiride|5-(Aminosulfonyl)-N-((1-ethyl-2-pyrrolidinyl)methyl)-2-methoxybenzamide|Levosulpirida|Levosulpiride|Levosulpiridum|N-((1-Ethyl-2-pyrrolidinyl)methyl)-2-methoxy-5-sulfamoylbenzamide|N-((1-Ethyl-2-pyrrolidinyl)methyl)-5-sulfamoyl-O-anisamide|Sulpirid|Sulpirida|Sulpiridum|Sulpyrid
DB00392,Ethopropazine,small molecule,522-00-9,approved,"10-(2-Diethylaminopropyl)phenothiazine|10-[2-(Diethylamino)-1-propyl]phenothiazine|10-[2-(Diethylamino)-2-methylethyl]phenothiazine|10-[2-(Diethylamino)propyl]phenothiazine|2-Diethylamino-1-propyl-N-dibenzoparathiazine|Ethopropazine|N,N-Diethyl-1-(10H-phenothiazin-10-yl)-2-propanamine|N,N-Diethyl-alpha-methyl-10H-phenothiazine-10-ethanamine|Profenamina|Profenamine|Profenaminum"
DB00393,Nimodipine,small molecule,66085-59-4,approved,"2,6-dimethyl-4-(3'-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylic acid 3-β-methoxyethyl ester 5-isopropyl ester|isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(3-nitrophenyl)-3,5-pyridinedicarboxylate|isopropyl 2-methoxyethyl 1,4-dihydro-2,6-dimethyl-4-(m-nitrophenyl)-3,5-pyridinedicarboxylate|Nimodipino|Nimodipinum"
DB00394,Beclomethasone dipropionate,small molecule,5534-09-8,approved|investigational,"(11β,16β)-9-chloro-11-hydroxy-16-methyl-17,21-bis(1-oxopropoxy)pregna-1,4-diene-3,20-dione|9-chloro-11β-hydroxy-16β-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate|9-chloro-16β-methyl-11β,17,21-trihydroxypregna-1,4-diene-3,20-dione 17,21-dipropionate|beclometasone 17,21-dipropionate|Beclometasone dipropionate"
DB00395,Carisoprodol,small molecule,78-44-4,approved,"(+-)-2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate|(1-Methylethyl)carbamic acid 2-(((aminocarbonyl)oxy)methyl)-2-methylpentyl ester|(RS)-2-{[(aminocarbonyl)oxy]methyl}-2-methylpentyl isopropylcarbamate|2-Methyl-2-propyl-1,3-propanediol carbamate isopropylcarbamate|2-Methyl-2-propyltrimethylene carbamate isopropylcarbamate|Carbamic acid 2-isopropylcarbamoyloxymethyl-2-methyl-pentyl ester|Carisoprodate|Carisoprodol|Carisoprodolum|Isobamate|Isomeprobamate|Isopropyl meprobamate|Isopropylmeprobamate|N-Isopropy-2-methyl-2-propyl-1,3-propanediol dicarbamate|Someprobamate"
